"table_name","table_column_name","description"
S01EWS,S010001,"1. Present residents // TOTAL: Persons // Persons // Persons present plus absent residents in households"
S01EWS,S010002,"1. Present residents // In households // Persons // Persons present plus absent residents in households"
S01EWS,S010003,"1. Present residents // In households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010004,"1. Present residents // In households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010005,"1. Present residents // Not in households // Persons // Persons present plus absent residents in households"
S01EWS,S010006,"1. Present residents // Not in households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010007,"1. Present residents // Not in households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010008,"2. Absent residents (part of household present) // TOTAL: Persons // Persons // Persons present plus absent residents in households"
S01EWS,S010009,"2. Absent residents (part of household present) // In households // Persons // Persons present plus absent residents in households"
S01EWS,S010010,"2. Absent residents (part of household present) // In households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010011,"2. Absent residents (part of household present) // In households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010015,"3. Absent residents (wholly absent household - enumerated) // TOTAL: Persons // Persons // Persons present plus absent residents in households"
S01EWS,S010016,"3. Absent residents (wholly absent household - enumerated) // In households // Persons // Persons present plus absent residents in households"
S01EWS,S010017,"3. Absent residents (wholly absent household - enumerated) // In households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010018,"3. Absent residents (wholly absent household - enumerated) // In households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010022,"4. Absent residents (wholly absent household - imputed) // TOTAL: Persons // Persons // Persons present plus absent residents in households"
S01EWS,S010023,"4. Absent residents (wholly absent household - imputed) // In households // Persons // Persons present plus absent residents in households"
S01EWS,S010024,"4. Absent residents (wholly absent household - imputed) // In households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010025,"4. Absent residents (wholly absent household - imputed) // In households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010029,"5. Visitors // TOTAL: Persons // Persons // Persons present plus absent residents in households"
S01EWS,S010030,"5. Visitors // In households // Persons // Persons present plus absent residents in households"
S01EWS,S010031,"5. Visitors // In households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010032,"5. Visitors // In households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010033,"5. Visitors // Not in households // Persons // Persons present plus absent residents in households"
S01EWS,S010034,"5. Visitors // Not in households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010035,"5. Visitors // Not in households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010036,Resident in UK // TOTAL: Persons // Persons // Persons present plus absent residents in households
S01EWS,S010037,Resident in UK // In households // Persons // Persons present plus absent residents in households
S01EWS,S010038,Resident in UK // In households // Male // Persons // Persons present plus absent residents in households
S01EWS,S010039,Resident in UK // In households // Female // Persons // Persons present plus absent residents in households
S01EWS,S010040,Resident in UK // Not in households // Persons // Persons present plus absent residents in households
S01EWS,S010041,Resident in UK // Not in households // Male // Persons // Persons present plus absent residents in households
S01EWS,S010042,Resident in UK // Not in households // Female // Persons // Persons present plus absent residents in households
S01EWS,S010043,Resident outside UK // TOTAL: Persons // Persons // Persons present plus absent residents in households
S01EWS,S010044,Resident outside UK // In households // Persons // Persons present plus absent residents in households
S01EWS,S010045,Resident outside UK // In households // Male // Persons // Persons present plus absent residents in households
S01EWS,S010046,Resident outside UK // In households // Female // Persons // Persons present plus absent residents in households
S01EWS,S010047,Resident outside UK // Not in households // Persons // Persons present plus absent residents in households
S01EWS,S010048,Resident outside UK // Not in households // Male // Persons // Persons present plus absent residents in households
S01EWS,S010049,Resident outside UK // Not in households // Female // Persons // Persons present plus absent residents in households
S01EWS,S010050,"1971 Base (1 + 5) // TOTAL: Persons // Persons // Persons present plus absent residents in households"
S01EWS,S010051,"1971 Base (1 + 5) // In households // Persons // Persons present plus absent residents in households"
S01EWS,S010052,"1971 Base (1 + 5) // In households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010053,"1971 Base (1 + 5) // In households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010054,"1971 Base (1 + 5) // Not in households // Persons // Persons present plus absent residents in households"
S01EWS,S010055,"1971 Base (1 + 5) // Not in households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010056,"1971 Base (1 + 5) // Not in households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010057,"1981 Base (1 + 2) // TOTAL: Persons // Persons // Persons present plus absent residents in households"
S01EWS,S010058,"1981 Base (1 + 2) // In households // Persons // Persons present plus absent residents in households"
S01EWS,S010059,"1981 Base (1 + 2) // In households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010060,"1981 Base (1 + 2) // In households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010061,"1981 Base (1 + 2) // Not in households // Persons // Persons present plus absent residents in households"
S01EWS,S010062,"1981 Base (1 + 2) // Not in households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010063,"1981 Base (1 + 2) // Not in households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010064,"1991 Base (1 + 2 + 3 + 4) (All tables for residents on 100% topics are on this population base) // TOTAL: Persons // Persons // Persons present plus absent residents in households"
S01EWS,S010065,"1991 Base (1 + 2 + 3 + 4) (All tables for residents on 100% topics are on this population base) // In households // Persons // Persons present plus absent residents in households"
S01EWS,S010066,"1991 Base (1 + 2 + 3 + 4) (All tables for residents on 100% topics are on this population base) // In households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010067,"1991 Base (1 + 2 + 3 + 4) (All tables for residents on 100% topics are on this population base) // In households // Female // Persons // Persons present plus absent residents in households"
S01EWS,S010068,"1991 Base (1 + 2 + 3 + 4) (All tables for residents on 100% topics are on this population base) // Not in households // Persons // Persons present plus absent residents in households"
S01EWS,S010069,"1991 Base (1 + 2 + 3 + 4) (All tables for residents on 100% topics are on this population base) // Not in households // Male // Persons // Persons present plus absent residents in households"
S01EWS,S010070,"1991 Base (1 + 2 + 3 + 4) (All tables for residents on 100% topics are on this population base) // Not in households // Female // Persons // Persons present plus absent residents in households"
S02EWS,S020001,All ages // TOTAL: Persons // Persons // Residents
S02EWS,S020002,All ages // Male // Persons // Residents
S02EWS,S020003,"All ages // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020004,All ages // Married // Male // Persons // Residents
S02EWS,S020005,All ages // Female // Persons // Residents
S02EWS,S020006,"All ages // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020007,All ages // Married // Female // Persons // Residents
S02EWS,S020008,Age 0-4 // TOTAL: Persons // Persons // Residents
S02EWS,S020009,Age 0-4 // Male // Persons // Residents
S02EWS,S020010,"Age 0-4 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020012,Age 0-4 // Female // Persons // Residents
S02EWS,S020013,"Age 0-4 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020015,Age 5-9 // TOTAL: Persons // Persons // Residents
S02EWS,S020016,Age 5-9 // Male // Persons // Residents
S02EWS,S020017,"Age 5-9 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020019,Age 5-9 // Female // Persons // Residents
S02EWS,S020020,"Age 5-9 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020022,Age 10-14 // TOTAL: Persons // Persons // Residents
S02EWS,S020023,Age 10-14 // Male // Persons // Residents
S02EWS,S020024,"Age 10-14 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020026,Age 10-14 // Female // Persons // Residents
S02EWS,S020027,"Age 10-14 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020029,Age 15 // TOTAL: Persons // Persons // Residents
S02EWS,S020030,Age 15 // Male // Persons // Residents
S02EWS,S020031,"Age 15 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020033,Age 15 // Female // Persons // Residents
S02EWS,S020034,"Age 15 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020036,Age 16-17 // TOTAL: Persons // Persons // Residents
S02EWS,S020037,Age 16-17 // Male // Persons // Residents
S02EWS,S020038,"Age 16-17 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020039,Age 16-17 // Married // Male // Persons // Residents
S02EWS,S020040,Age 16-17 // Female // Persons // Residents
S02EWS,S020041,"Age 16-17 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020042,Age 16-17 // Married // Female // Persons // Residents
S02EWS,S020043,Age 18-19 // TOTAL: Persons // Persons // Residents
S02EWS,S020044,Age 18-19 // Male // Persons // Residents
S02EWS,S020045,"Age 18-19 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020046,Age 18-19 // Married // Male // Persons // Residents
S02EWS,S020047,Age 18-19 // Female // Persons // Residents
S02EWS,S020048,"Age 18-19 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020049,Age 18-19 // Married // Female // Persons // Residents
S02EWS,S020050,Age 20-24 // TOTAL: Persons // Persons // Residents
S02EWS,S020051,Age 20-24 // Male // Persons // Residents
S02EWS,S020052,"Age 20-24 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020053,Age 20-24 // Married // Male // Persons // Residents
S02EWS,S020054,Age 20-24 // Female // Persons // Residents
S02EWS,S020055,"Age 20-24 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020056,Age 20-24 // Married // Female // Persons // Residents
S02EWS,S020057,Age 25-29 // TOTAL: Persons // Persons // Residents
S02EWS,S020058,Age 25-29 // Male // Persons // Residents
S02EWS,S020059,"Age 25-29 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020060,Age 25-29 // Married // Male // Persons // Residents
S02EWS,S020061,Age 25-29 // Female // Persons // Residents
S02EWS,S020062,"Age 25-29 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020063,Age 25-29 // Married // Female // Persons // Residents
S02EWS,S020064,Age 30-34 // TOTAL: Persons // Persons // Residents
S02EWS,S020065,Age 30-34 // Male // Persons // Residents
S02EWS,S020066,"Age 30-34 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020067,Age 30-34 // Married // Male // Persons // Residents
S02EWS,S020068,Age 30-34 // Female // Persons // Residents
S02EWS,S020069,"Age 30-34 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020070,Age 30-34 // Married // Female // Persons // Residents
S02EWS,S020071,Age 35-39 // TOTAL: Persons // Persons // Residents
S02EWS,S020072,Age 35-39 // Male // Persons // Residents
S02EWS,S020073,"Age 35-39 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020074,Age 35-39 // Married // Male // Persons // Residents
S02EWS,S020075,Age 35-39 // Female // Persons // Residents
S02EWS,S020076,"Age 35-39 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020077,Age 35-39 // Married // Female // Persons // Residents
S02EWS,S020078,Age 40-44 // TOTAL: Persons // Persons // Residents
S02EWS,S020079,Age 40-44 // Male // Persons // Residents
S02EWS,S020080,"Age 40-44 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020081,Age 40-44 // Married // Male // Persons // Residents
S02EWS,S020082,Age 40-44 // Female // Persons // Residents
S02EWS,S020083,"Age 40-44 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020084,Age 40-44 // Married // Female // Persons // Residents
S02EWS,S020085,Age 45-49 // TOTAL: Persons // Persons // Residents
S02EWS,S020086,Age 45-49 // Male // Persons // Residents
S02EWS,S020087,"Age 45-49 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020088,Age 45-49 // Married // Male // Persons // Residents
S02EWS,S020089,Age 45-49 // Female // Persons // Residents
S02EWS,S020090,"Age 45-49 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020091,Age 45-49 // Married // Female // Persons // Residents
S02EWS,S020092,Age 50-54 // TOTAL: Persons // Persons // Residents
S02EWS,S020093,Age 50-54 // Male // Persons // Residents
S02EWS,S020094,"Age 50-54 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020095,Age 50-54 // Married // Male // Persons // Residents
S02EWS,S020096,Age 50-54 // Female // Persons // Residents
S02EWS,S020097,"Age 50-54 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020098,Age 50-54 // Married // Female // Persons // Residents
S02EWS,S020099,Age 55-59 // TOTAL: Persons // Persons // Residents
S02EWS,S020100,Age 55-59 // Male // Persons // Residents
S02EWS,S020101,"Age 55-59 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020102,Age 55-59 // Married // Male // Persons // Residents
S02EWS,S020103,Age 55-59 // Female // Persons // Residents
S02EWS,S020104,"Age 55-59 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020105,Age 55-59 // Married // Female // Persons // Residents
S02EWS,S020106,Age 60-64 // TOTAL: Persons // Persons // Residents
S02EWS,S020107,Age 60-64 // Male // Persons // Residents
S02EWS,S020108,"Age 60-64 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020109,Age 60-64 // Married // Male // Persons // Residents
S02EWS,S020110,Age 60-64 // Female // Persons // Residents
S02EWS,S020111,"Age 60-64 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020112,Age 60-64 // Married // Female // Persons // Residents
S02EWS,S020113,Age 65-69 // TOTAL: Persons // Persons // Residents
S02EWS,S020114,Age 65-69 // Male // Persons // Residents
S02EWS,S020115,"Age 65-69 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020116,Age 65-69 // Married // Male // Persons // Residents
