"geography_code","description","geography_groupings"
"0E",England,Country
"0S",Scotland,Country
"0W",Wales,Country
"01",Inner London,County
"02",Outer London,County
"03",Greater Manchester,County
"04",Merseyside,County
"05",South Yorkshire,County
"06",Tyne and Wear,County
"07",West Midlands,County
"08",West Yorkshire,County
"09",Avon,County
"10",Bedfordshire,County
"11",Berkshire,County
"12",Buckinghamshire,County
"13",Cambridgeshire,County
"14",Cheshire,County
"15",Cleveland,County
"16",Cornwall and Isles Of Scilly,County
"17",Cumbria,County
"18",Derbyshire,County
"19",Devon,County
"20",Dorset,County
"21",Durham,County
"22",East Sussex,County
"23",Essex,County
"24",Gloucestershire,County
"25",Hampshire,County
"26",Hereford and Worcester,County
"27",Hertfordshire,County
"28",Humberside,County
"29",Isle Of Wight,County
"30",Kent,County
"31",Lancashire,County
"32",Leicestershire,County
"33",Lincolnshire,County
"34",Norfolk,County
"35",Northamptonshire,County
"36",Northumberland,County
"37",North Yorkshire,County
"38",Nottinghamshire,County
"39",Oxfordshire,County
"40",Shropshire,County
"41",Somerset,County
"42",Staffordshire,County
"43",Suffolk,County
"44",Surrey,County
"45",Warwickshire,County
"46",West Sussex,County
"47",Wiltshire,County
"48",Clwyd,County
"49",Dyfed,County
"50",Gwent,County
"51",Gwynedd,County
"52",Mid Glamorgan,County
"53",Powys,County
"54",South Glamorgan,County
"55",West Glamorgan,County
"56",Borders,Region
"57",Central,Region
"58",Dumfries and Galloway,Region
"59",Fife,Region
"60",Grampian,Region
"61",Highland,Region
"62",Lothian,Region
"63",Strathclyde,Region
"64",Tayside,Region
"65",Orkney,Region
"66",Shetland,Region
"67",Western Isles,Region
"01AA",City Of London,District
"01AB",Camden,District
"01AC",Hackney,District
"01AD",Hammersmith and Fulham,District
"01AE",Haringey,District
"01AF",Islington,District
"01AG",Kensington and Chelsea,District
"01AH",Lambeth,District
"01AJ",Lewisham,District
"01AK",Newham,District
"01AL",Southwark,District
"01AM",Tower Hamlets,District
"01AN",Wandsworth,District
"01AP",City of Westminster,District
"02AQ",Barking and Dagenham,District
"02AR",Barnet,District
"02AS",Bexley,District
"02AT",Brent,District
"02AU",Bromley,District
"02AW",Croydon,District
"02AX",Ealing,District
"02AY",Enfield,District
"02AZ",Greenwich,District
"02BA",Harrow,District
"02BB",Havering,District
"02BC",Hillingdon,District
"02BD",Hounslow,District
"02BE",Kingston upon Thames,District
"02BF",Merton,District
"02BG",Redbridge,District
"02BH",Richmond Upon Thames,District
"02BJ",Sutton,District
"02BK",Waltham Forest,District
"03BL",Bolton,District
"03BM",Bury,District
"03BN",Manchester,District
"03BP",Oldham,District
"03BQ",Rochdale,District
"03BR",Salford,District
"03BS",Stockport,District
"03BT",Tameside,District
"03BU",Trafford,District
"03BW",Wigan,District
"04BX",Knowsley,District
"04BY",Liverpool,District
"04BZ",St. Helens,District
"04CA",Sefton,District
"04CB",Wirral,District
"05CC",Barnsley,District
"05CE",Doncaster,District
"05CF",Rotherham,District
"05CG",Sheffield,District
"06CH",Gateshead,District
"06CJ",Newcastle upon Tyne,District
"06CK",North Tyneside,District
"06CL",South Tyneside,District
"06CM",Sunderland,District
"07CN",Birmingham,District
"07CQ",Coventry,District
"07CR",Dudley,District
"07CS",Sandwell,District
"07CT",Solihull,District
"07CU",Walsall,District
"07CW",Wolverhampton,District
"08CX",Bradford,District
"08CY",Calderdale,District
"08CZ",Kirklees,District
"08DA",Leeds,District
"08DB",Wakefield,District
"09DC",Bath,District
"09DD",Bristol,District
"09DE",Kingswood,District
"09DF",Northavon,District
"09DG",Wansdyke,District
"09DH",Woodspring,District
"10DJ",Luton,District
"10DK",Mid Bedfordshire,District
"10DL",North Bedfordshire,District
"10DM",South Bedfordshire,District
"11DN",Bracknell Forest,District
"11DP",Newbury,District
"11DQ",Reading,District
"11DR",Slough,District
"11DS",Windsor and Maidenhead,District
"11DT",Wokingham,District
"12DU",Aylesbury Vale,District
"12DW",Chiltern,District
"12DX",Milton Keynes,District
"12DY",South Bucks,District
"12DZ",Wycombe,District
"13EB",Cambridge,District
"13EC",East Cambridgeshire,District
"13EE",Fenland,District
"13EF",Huntingdonshire,District
"13EG",Peterborough,District
"13EH",South Cambridgeshire,District
"14EJ",Chester,District
"14EK",Congleton,District
"14EL",Crewe and Nantwich,District
"14EM",Ellesmere Port and Neston,District
"14EN",Halton,District
"14EP",Macclesfield,District
"14EQ",Vale Royal,District
"14ER",Warrington,District
"15ES",Hartlepool,District
"15ET",Langbaurgh-On-Tees,District
"15EU",Middlesbrough,District
"15EW",Stockton-on-Tees,District
"16EX",Caradon,District
"16EY",Carrick,District
