"ukcas_table_name","table_code","table_label","table_title","table_full_title","table_universe","table_counts"
AF001EW,AF001,Armed Forces Table 1,Residents in Employment in Armed Forces,AF001: Residents in Employment in Armed Forces,All Residents  in Armed Forces,Persons
AF002EW,AF002,Armed Forces Table 2,Residents in Households with Household Reference Person in Armed Forces,AF002: Residents in Households with Household Reference Person in Armed Forces,All People Resident in Households with Armed FOrces Personnel ,Persons
AF003EW,AF003,Armed Forces Table 3,Economic Activity of People Resident in Households Where Household Reference Person in Armed Forces,AF003: Economic Activity of People Resident in Households Where Household Reference Person in Armed Forces,All Associated People Resident Armed Forces Personnel,Persons
AF004EW,AF004,Armed Forces Table 4,UK and Foreign Armed Forces by Residence and Workplace,AF004: UK and Foreign Armed Forces by Residence and Workplace,All People in Armed Forces,Persons
CS001S,CS001,Census Area Statistics Table 1,Age by Sex and Resident Type,CS001: Age by Sex and Resident Type,All People,Persons
CS001NI,CS001,Census Area Statistics Table 1,Age by Sex and Whether Living in a Household or Communal Establishment,CS001: Age by Sex and Whether Living in a Household or Communal Establishment,All People,Persons
CS001EW,CS001,Census Area Statistics Table 1,Age by Sex and Resident Type,CS001: Age by Sex and Resident Type,All People,People
CS002S,CS002,Census Area Statistics Table 2,Age by Sex and Marital Status,CS002: Age by Sex and Marital Status,All People,Persons
CS002NI,CS002,Census Area Statistics Table 2,Age by Sex and Marital Status,CS002: Age by Sex and Marital Status,All People,Persons
CS002EW,CS002,Census Area Statistics Table 2,Age by Sex and Marital Status,CS002: Age by Sex and Marital Status,All People,People
CS003S,CS003,Census Area Statistics Table 3,Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),CS003: Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),All Households,Households
CS003NI,CS003,Census Area Statistics Table 3,Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),CS003: Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),All Households,Households
CS003EW,CS003,Census Area Statistics Table 3,Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),CS003: Age of Household Reference Person (HRP) by Sex and Marital Status (Headship),All Households,Households
CS004S,CS004,Census Area Statistics Table 4,Age by Sex and Living Arrangements,CS004: Age by Sex and Living Arrangements,All People in Households,Persons
CS004EW,CS004,Census Area Statistics Table 4,Age by Sex and Living Arrangements,CS004: Age by Sex and Living Arrangements,All People in Households,People
CS005S,CS005,Census Area Statistics Table 5,Age of Household Reference Person (HRP) by Sex and Living Arrangements,CS005: Age of Household Reference Person (HRP) by Sex and Living Arrangements,All HRPs in Households,Persons
CS005NI,CS005,Census Area Statistics Table 5,Age of Household Reference Person (HRP) by Sex and Living Arrangements,CS005: Age of Household Reference Person (HRP) by Sex and Living Arrangements,All HRPs in Households,Persons
CS005EW,CS005,Census Area Statistics Table 5,Age of Household Reference Person (HRP) by Sex and Living Arrangements,CS005: Age of Household Reference Person (HRP) by Sex and Living Arrangements,All HRPs in Households,People
CS007S,CS007,Census Area Statistics Table 7,Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,CS007: Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,All Families,Families
CS007NI,CS007,Census Area Statistics Table 7,Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,CS007: Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,All Families,Families
CS007EW,CS007,Census Area Statistics Table 7,Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,CS007: Age of Family Reference Person (FRP) and Number and Age of Dependent Children by Family Type,All Families,Families
