"table_file_name","table_column_name","description"
af001_ons,AF0010001,Age 16 and over// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010002,Age 16 and over// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010003,Age 16 and over// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010004,Age 16 and over// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010005,Age 16 and over// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010006,Age 16 and over// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010007,Age 16 and over// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010008,Age 16 and over// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010009,Age 16 and over// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010010,Age 16 and over// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010011,Age 16 and over// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010012,Age 16 and over// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010013,Age 16 to 17// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010014,Age 16 to 17// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010015,Age 16 to 17// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010016,Age 16 to 17// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010017,Age 16 to 17// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010018,Age 16 to 17// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010019,Age 16 to 17// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010020,Age 16 to 17// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010021,Age 16 to 17// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010022,Age 16 to 17// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010023,Age 16 to 17// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010024,Age 16 to 17// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010025,Age 18 to 19// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010026,Age 18 to 19// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010027,Age 18 to 19// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010028,Age 18 to 19// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010029,Age 18 to 19// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010030,Age 18 to 19// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010031,Age 18 to 19// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010032,Age 18 to 19// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010033,Age 18 to 19// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010034,Age 18 to 19// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010035,Age 18 to 19// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010036,Age 18 to 19// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010037,Age 20 to 24// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010038,Age 20 to 24// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010039,Age 20 to 24// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010040,Age 20 to 24// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010041,Age 20 to 24// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010042,Age 20 to 24// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010043,Age 20 to 24// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010044,Age 20 to 24// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010045,Age 20 to 24// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010046,Age 20 to 24// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010047,Age 20 to 24// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010048,Age 20 to 24// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010049,Age 25 to 29// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010050,Age 25 to 29// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010051,Age 25 to 29// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010052,Age 25 to 29// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010053,Age 25 to 29// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010054,Age 25 to 29// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010055,Age 25 to 29// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010056,Age 25 to 29// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010057,Age 25 to 29// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010058,Age 25 to 29// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010059,Age 25 to 29// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010060,Age 25 to 29// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010061,Age 30 to 34// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010062,Age 30 to 34// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010063,Age 30 to 34// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010064,Age 30 to 34// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010065,Age 30 to 34// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
