zoneid,ward_code,year,TOTAL_RES_1981,TOTAL_MALE_1981,TOTAL_FEMALE_1981,FAR_EAST_BORN_1981,FAR_EAST_BORN_MALE_1981,FAR_EAST_BORN_FEMALE_1981,PCT_FAR_EAST_BORN_1981,TOTAL_HH_1981,OWNER_OCC_HH_1981,COUNCIL_HH_1981,NO_CAR_HH_1981,OVERCROWD_GT1P5_1981,OVERCROWD_1TO1P5_1981,NO_BATH_WC_1981,NO_INSIDE_BATH_WC_1981,PCT_OWNER_OCC_1981,PCT_COUNCIL_1981,PCT_NO_CAR_1981,PCT_OVERCROWD_GT1P5_1981,PCT_OVERCROWD_1TO1P5_1981,PCT_NO_BATH_WC_1981,PCT_NO_INSIDE_BATH_WC_1981,EMPLOYED_1981,UNEMPLOYED_1981,ECON_ACTIVE_1981
03BNAA01,03BNAA,1981,,,,3,2,1,0.0,160,31,0,102,3,5,0,0,19.375,0.0,63.75,1.875,3.125,0.0,0.0,,,
03BNAA02,03BNAA,1981,,,,1,1,0,0.0,205,69,0,98,4,5,3,0,33.65853658536585,0.0,47.80487804878049,1.951219512195122,2.4390243902439024,1.4634146341463414,0.0,,,
03BNAA03,03BNAA,1981,,,,0,0,0,0.0,154,70,0,81,2,2,0,0,45.45454545454545,0.0,52.5974025974026,1.2987012987012987,1.2987012987012987,0.0,0.0,,,
03BNAA04,03BNAA,1981,,,,0,0,0,0.0,177,34,0,112,1,0,0,0,19.2090395480226,0.0,63.27683615819209,0.5649717514124294,0.0,0.0,0.0,,,
03BNAA05,03BNAA,1981,,,,0,0,0,0.0,171,102,0,78,3,5,4,0,59.64912280701754,0.0,45.6140350877193,1.7543859649122806,2.9239766081871346,2.3391812865497075,0.0,,,
03BNAA06,03BNAA,1981,,,,7,4,3,0.0,110,17,0,44,0,1,0,0,15.454545454545455,0.0,40.0,0.0,0.9090909090909091,0.0,0.0,,,
03BNAA07,03BNAA,1981,,,,0,0,0,0.0,158,73,0,92,3,2,0,1,46.20253164556962,0.0,58.22784810126582,1.8987341772151898,1.2658227848101267,0.0,0.6329113924050633,,,
03BNAA08,03BNAA,1981,,,,1,1,0,0.0,88,18,0,62,4,3,0,0,20.454545454545453,0.0,70.45454545454545,4.545454545454546,3.409090909090909,0.0,0.0,,,
03BNAA09,03BNAA,1981,,,,3,2,1,0.0,126,14,0,82,10,0,1,0,11.11111111111111,0.0,65.07936507936508,7.936507936507937,0.0,0.7936507936507936,0.0,,,
03BNAA10,03BNAA,1981,,,,0,0,0,0.0,122,30,0,85,8,0,1,0,24.59016393442623,0.0,69.67213114754098,6.557377049180328,0.0,0.819672131147541,0.0,,,
03BNAA11,03BNAA,1981,,,,0,0,0,0.0,68,11,0,49,3,2,3,0,16.176470588235293,0.0,72.05882352941177,4.411764705882353,2.9411764705882355,4.411764705882353,0.0,,,
03BNAA12,03BNAA,1981,,,,1,0,1,0.0,152,102,0,44,0,4,0,0,67.10526315789474,0.0,28.94736842105263,0.0,2.6315789473684212,0.0,0.0,,,
03BNAA13,03BNAA,1981,,,,2,1,1,0.0,188,165,0,60,2,9,1,0,87.76595744680851,0.0,31.914893617021278,1.0638297872340425,4.787234042553192,0.5319148936170213,0.0,,,
03BNAA14,03BNAA,1981,,,,1,1,0,0.0,156,108,0,82,1,5,0,0,69.23076923076923,0.0,52.56410256410256,0.6410256410256411,3.2051282051282053,0.0,0.0,,,
03BNAA15,03BNAA,1981,,,,0,0,0,0.0,157,108,0,62,3,7,1,0,68.78980891719745,0.0,39.49044585987261,1.910828025477707,4.45859872611465,0.6369426751592356,0.0,,,
03BNAA16,03BNAA,1981,,,,5,3,2,0.0,168,91,0,80,9,19,0,0,54.166666666666664,0.0,47.61904761904762,5.357142857142857,11.30952380952381,0.0,0.0,,,
03BNAA17,03BNAA,1981,,,,3,1,2,0.0,143,61,0,83,5,3,1,0,42.65734265734266,0.0,58.04195804195804,3.4965034965034967,2.097902097902098,0.6993006993006993,0.0,,,
03BNAA18,03BNAA,1981,,,,6,4,2,0.0,131,30,0,84,5,4,1,0,22.900763358778626,0.0,64.12213740458016,3.816793893129771,3.053435114503817,0.7633587786259542,0.0,,,
03BNAA19,03BNAA,1981,,,,1,1,0,0.0,87,11,0,45,1,2,2,0,12.64367816091954,0.0,51.724137931034484,1.1494252873563218,2.2988505747126435,2.2988505747126435,0.0,,,
03BNAA20,03BNAA,1981,,,,2,2,0,0.0,176,158,0,55,0,6,1,0,89.77272727272727,0.0,31.25,0.0,3.409090909090909,0.5681818181818182,0.0,,,
