zoneid,ward_code,year,TOTAL_RES_1991,TOTAL_MALE_1991,TOTAL_FEMALE_1991,CHINESE_ETHNIC_1991,CHINESE_ETHNIC_MALE_1991,CHINESE_ETHNIC_FEMALE_1991,PCT_CHINESE_ETHNIC_1991,CHINESE_AGE_0_4_1991,CHINESE_AGE_5_15_1991,CHINESE_AGE_16_29_1991,CHINESE_AGE_30_PENSION_1991,CHINESE_PENSIONABLE_1991,CHINESE_LIMITING_ILLNESS_1991,CHINA_BORN_1991,PCT_CHINA_BORN_1991,CHINESE_16PLUS_1991,CHINESE_ECON_ACTIVE_1991,CHINESE_UNEMPLOYED_1991,CHINESE_HOUSEHOLDS_1991,CHINESE_OVERCROWD_GT1P5_1991,CHINESE_OWNER_OCC_1991,PCT_CHINESE_OVERCROWD_1991,PCT_CHINESE_OWNER_OCC_1991
03BNFA01,03BNFA,1991,229,125,104,14,6,8,6.11353711790393,0,2,2,6,0,4,0,0.0,20,4,0,10,0,0,0.0,0.0
03BNFA02,03BNFA,1991,348,203,145,34,20,14,9.770114942528735,0,3,14,12,1,0,31,8.908045977011493,41,15,5,25,1,0,4.0,0.0
03BNFA03,03BNFA,1991,551,342,209,7,4,3,1.2704174228675136,1,0,1,5,0,2,5,0.9074410163339383,12,3,4,6,0,0,0.0,0.0
03BNFA04,03BNFA,1991,484,230,254,21,11,10,4.338842975206612,1,7,5,8,0,1,0,0.0,15,9,2,4,0,0,0.0,0.0
03BNFA05,03BNFA,1991,216,119,97,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNFA06,03BNFA,1991,370,155,215,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,
03BNFA07,03BNFA,1991,609,273,336,8,3,5,1.3136288998357963,0,2,0,4,2,2,2,0.3284072249589491,16,6,1,8,0,0,0.0,0.0
03BNFA08,03BNFA,1991,661,315,346,3,2,1,0.45385779122541603,0,0,0,2,0,0,4,0.6051437216338881,2,2,1,1,0,0,0.0,0.0
03BNFA09,03BNFA,1991,396,203,193,10,4,6,2.525252525252525,0,2,5,4,0,0,0,0.0,17,11,2,10,0,3,0.0,30.0
03BNFA10,03BNFA,1991,316,147,169,16,6,10,5.063291139240507,1,2,4,8,2,1,10,3.1645569620253164,14,7,2,8,0,0,0.0,0.0
03BNFA11,03BNFA,1991,390,216,174,11,10,1,2.8205128205128207,1,2,5,2,0,0,5,1.2820512820512822,16,5,3,8,0,0,0.0,0.0
03BNFA12,03BNFA,1991,542,264,278,8,6,2,1.4760147601476015,1,3,2,2,0,2,1,0.18450184501845018,17,3,1,8,0,0,0.0,0.0
