zoneid,year,ward_code,total_pop,chinese_ethnic_count,chinese_ethnic_pct,asia_born_count,asia_born_pct,asia_born_pct_is_proxy,pop_16_74,econ_active_rate,unemployment_rate,self_employment_rate,total_hh_spaces,owner_occ_rate,council_rent_rate,private_rent_rate,overcrowd_rate,overcrowd_severe_rate,no_bath_wc_rate,no_car_rate
00BNFA0001,2001,00BNFA,275,0,0.0,30,10.91,True,214,42.52,9.35,2.8,128,14.84,46.09,25.78,0.0,0.0,6.72,62.6
00BNFA0002,2001,00BNFA,211,3,1.42,6,2.84,True,152,47.37,9.87,3.95,125,12.8,47.2,19.2,0.0,0.0,13.45,70.31
00BNFA0003,2001,00BNFA,369,17,4.61,74,20.05,True,281,34.52,3.91,1.78,139,8.63,45.32,41.73,4.51,4.51,12.23,71.63
00BNFA0004,2001,00BNFA,289,0,0.0,4,1.38,True,181,43.09,4.42,3.87,113,16.81,56.64,2.65,5.26,0.0,0.0,58.62
00BNFA0005,2001,00BNFA,328,0,0.0,27,8.23,True,207,53.62,9.18,0.0,135,9.63,61.48,10.37,6.2,0.0,2.22,67.41
00BNFA0006,2001,00BNFA,210,11,5.24,26,12.38,True,185,61.62,8.11,4.86,107,9.35,24.3,66.36,5.77,2.88,4.8,55.86
00BNFA0007,2001,00BNFA,1097,227,20.69,337,30.72,True,1052,25.95,1.33,0.57,139,4.32,74.1,17.99,4.17,2.08,2.13,67.81
00BNFA0008,2001,00BNFA,258,6,2.33,11,4.26,True,190,32.63,14.74,1.58,124,11.29,26.61,39.52,7.03,4.69,15.79,70.23
00BNFA0009,2001,00BNFA,350,53,15.14,73,20.86,True,234,47.01,5.56,1.28,133,10.53,84.21,5.26,9.85,2.27,4.58,60.45
00BNFA0010,2001,00BNFA,194,30,15.46,44,22.68,True,174,62.07,10.92,5.75,137,2.19,89.78,2.92,0.0,0.0,2.03,66.91
00BNFA0011,2001,00BNFA,270,25,9.26,22,8.15,True,128,32.03,13.28,0.0,93,3.23,18.28,9.68,3.3,0.0,0.0,63.27
00BNFA0012,2001,00BNFA,269,15,5.58,38,14.13,True,194,54.12,6.19,3.09,132,15.15,71.21,9.09,8.89,4.44,0.0,59.26
00BNFA0013,2001,00BNFA,152,0,0.0,0,0.0,True,136,49.26,11.76,2.21,121,3.31,84.3,9.92,0.0,0.0,2.34,77.17
00BNFA0014,2001,00BNFA,277,39,14.08,33,11.91,True,188,46.81,6.38,0.0,112,15.18,38.39,28.57,5.5,2.75,7.69,55.45
00BNFA0015,2001,00BNFA,258,3,1.16,27,10.47,True,187,57.75,10.7,2.14,124,6.45,72.58,12.9,4.88,2.44,0.0,69.53
00BNFA0016,2001,00BNFA,223,7,3.14,25,11.21,True,187,52.94,10.16,3.21,125,14.4,78.4,4.8,0.0,0.0,2.38,65.89
00BNFA0017,2001,00BNFA,255,0,0.0,6,2.35,True,194,39.18,9.79,1.55,127,16.54,55.12,15.75,2.36,2.36,7.56,63.36
00BNFA0018,2001,00BNFA,255,3,1.18,3,1.18,True,196,52.55,11.73,3.06,135,15.56,67.41,12.59,0.0,0.0,6.43,65.65
00BNFA0019,2001,00BNFA,212,4,1.89,19,8.96,True,160,40.0,8.12,1.88,127,11.81,71.65,11.81,7.69,5.13,2.65,70.83
00BNFA0020,2001,00BNFA,253,11,4.35,30,11.86,True,191,50.26,6.81,5.24,108,19.44,65.74,12.04,6.14,0.0,15.93,64.04
00BNFA0021,2001,00BNFA,264,0,0.0,0,0.0,True,200,47.0,4.5,1.5,139,23.02,50.36,8.63,0.0,0.0,2.36,59.85
00BNFA0022,2001,00BNFA,287,17,5.92,41,14.29,True,163,40.49,9.82,2.45,119,10.92,24.37,10.08,5.22,0.0,2.48,64.15
00BNFA0023,2001,00BNFA,255,39,15.29,55,21.57,True,166,42.17,10.84,3.61,125,4.8,12.0,13.6,0.0,0.0,8.06,62.99
