zoneid,geography_name,TOTAL_RES_1981,TOTAL_RES_1991,POP_CHANGE_PCT,CHINESE_BORN_1981,CHINESE_ETHNIC_1991,PCT_CHINESE_1981,PCT_CHINESE_1991,CHINA_BORN_1991,PCT_CHINA_BORN_1991,TOTAL_HH_1981,PCT_OWNER_OCC_1981,PCT_NO_CAR_1981,PCT_OVERCROWD_1981,CHINESE_HOUSEHOLDS_1991,PCT_CHINESE_OWNER_OCC_1991,PCT_CHINESE_OVERCROWD_1991,ward_name_2001,oa_count,TOTAL_POP_2001,CHINESE_ETHNIC_2001,PCT_CHINESE_ETHNIC_2001,ASIA_BORN_2001,PCT_ASIA_BORN_2001,UNEMPLOYMENT_RATE_2001,ECON_ACTIVE_RATE_2001,SELF_EMP_RATE_2001,PCT_OWNER_OCC_2001,PCT_COUNCIL_RENT_2001,PCT_PRIVATE_RENT_2001,PCT_OVERCROWD_2001,PCT_NO_BATH_WC_2001,PCT_NO_CAR_2001,GEOGRAPHY_MATCH_TYPE,WARD_CODE_2001
03BN,Manchester,1312935.0,404880.0,-69.16222052119869,7142.0,3103.0,0.5439720930586815,0.7663999209642364,655.0,0.1617763287887769,492010.0,35.94845633218837,60.44186093778582,1.16379748379098,2934.0,38.41172460804363,2.2494887525562373,,,,,,,,,,,,,,,,,unmatched,
00BNFA,,,,,,,,,,,,,,,,,,,34.0,9887.0,577.0,5.835946191969253,1222.0,12.359664205522403,7.3217084703979936,43.45142445610764,2.172914404851846,11.2688099803745,56.654599230095535,18.10137764409784,3.9873137226342594,5.590816362065092,64.518120989716,new_2001,00BNFA
00BNFB,,,,,,,,,,,,,,,,,,,40.0,11369.0,48.0,0.4222007212595655,146.0,1.2841938604978451,4.626965567673387,62.54470747767012,3.8177167763665567,47.863828949378345,38.836689356193105,8.142464099959636,1.6363957889141802,7.175281388556942,41.83801883337796,new_2001,00BNFB
00BNFC,,,,,,,,,,,,,,,,,,,47.0,12865.0,112.0,0.8705790905557714,627.0,4.873688301593471,4.780741078755814,63.0842886059019,5.487209742091641,37.13411076095467,29.355967850955707,28.67013361699848,1.8417933584086066,6.564646686858848,40.079731097082885,new_2001,00BNFC
00BNFD,,,,,,,,,,,,,,,,,,,35.0,10432.0,9.0,0.08627300613496933,68.0,0.651840490797546,7.380538566086605,52.0319812720565,1.8219807660449765,19.93543189274486,32.98016432764992,7.395799751666282,3.332672130030423,4.5132646624372565,55.5875593285938,new_2001,00BNFD
00BNFE,,,,,,,,,,,,,,,,,,,34.0,9419.0,111.0,1.1784690519163392,170.0,1.8048625119439432,5.948832562647895,47.90942886215232,2.2949919182569603,28.383523749612316,45.4655040025271,13.569378755545918,1.922873693580353,9.62794592461619,60.17182244174421,new_2001,00BNFE
00BNFF,,,,,,,,,,,,,,,,,,,37.0,10229.0,92.0,0.8994036562713853,140.0,1.368657737804282,5.197332501633777,53.35463732213926,3.8614959340773636,45.125452412047125,41.54724488439219,8.803707839141229,1.5414228475871894,6.508669642680577,50.80618273968662,new_2001,00BNFF
00BNFG,,,,,,,,,,,,,,,,,,,31.0,8445.0,179.0,2.11959739490823,241.0,2.8537596210775606,6.715488130247844,51.80471771082755,3.1945915896853614,37.3498869354313,28.317889322124497,15.729041267760081,1.9120051584943827,10.843173930993837,56.84030867266544,new_2001,00BNFG
00BNFH,,,,,,,,,,,,,,,,,,,40.0,10810.0,59.0,0.545790934320074,183.0,1.692876965772433,4.18361044504387,58.358165981422964,4.219504248982602,48.17511134530107,40.87377546456088,6.803712536143658,1.5366576923597777,5.382952211375789,41.32186846509407,new_2001,00BNFH
00BNFJ,,,,,,,,,,,,,,,,,,,44.0,13721.0,103.0,0.750674149114496,804.0,5.859631222214125,4.830785778740122,58.08577116172197,5.5813884813489,43.914793658506426,41.58980292616661,9.861107013389994,3.2923776484198033,8.927279226013757,40.781751603241,new_2001,00BNFJ
