WARD_CODE,JOIN_KEY,TOTAL_RES_1981
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAA,03BNAA    ,15205.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAB,03BNAB    ,14573.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
03BNAC,03BNAC    ,17612.0
