zoneid,ward_name,year,geography_level,TOTAL_RES_1991,TOTAL_MALE_1991,TOTAL_FEMALE_1991,PCT_MALE_1991,PCT_FEMALE_1991,CHINESE_ETHNIC_1991,CHINESE_ETHNIC_MALE_1991,CHINESE_ETHNIC_FEMALE_1991,PCT_CHINESE_ETHNIC_1991,CHINESE_AGE_0_4_1991,CHINESE_AGE_5_15_1991,CHINESE_AGE_16_29_1991,CHINESE_AGE_30_PENSION_1991,CHINESE_PENSIONABLE_1991,CHINESE_LIMITING_ILLNESS_1991,CHINA_BORN_1991,CHINA_BORN_MALE_1991,CHINA_BORN_FEMALE_1991,PCT_CHINA_BORN_1991,CHINESE_16PLUS_1991,CHINESE_ECON_ACTIVE_1991,CHINESE_UNEMPLOYED_1991,CHINESE_EMP_RATE_1991,CHINESE_UNEMP_RATE_1991,CHINESE_HOUSEHOLDS_1991,CHINESE_OVERCROWD_GT1P5_1991,CHINESE_OWNER_OCC_1991,PCT_CHINESE_OVERCROWD_1991,PCT_CHINESE_OWNER_OCC_1991
03BNFA,Ardwick,1991,ward,9655,4716,4939,48.84515794924909,51.15484205075091,202,112,90,2.092180217503884,12,33,62,85,10,19,81,48,33,0.8389435525634387,311,127,38,40.836012861736336,12.218649517684888,141,6,13,4.25531914893617,9.21985815602837
03BNFB,Baguley,1991,ward,12060,5648,6412,46.83250414593698,53.16749585406302,42,20,22,0.3482587064676617,2,13,15,11,1,3,5,3,2,0.0414593698175787,95,70,4,73.6842105263158,4.2105263157894735,44,1,21,2.272727272727273,47.72727272727273
03BNFC,Barlow Moor,1991,ward,12561,5939,6622,47.28126741501473,52.71873258498527,48,28,20,0.3821351803200382,2,1,30,13,2,1,10,6,4,0.0796114959000079,277,168,41,60.64981949458484,14.8014440433213,127,2,57,1.5748031496062993,44.881889763779526
03BNFD,Benchill,1991,ward,12766,5931,6835,46.459345135516216,53.54065486448378,17,9,8,0.1331662227792574,0,4,3,8,2,1,1,1,0,0.0078333072223092,36,22,5,61.11111111111112,13.88888888888889,23,0,2,0.0,8.695652173913043
03BNFE,Beswick and Clayton,1991,ward,11805,5590,6215,47.352816603134265,52.647183396865735,88,46,42,0.745446844557391,8,19,19,36,6,3,7,2,5,0.0592969080897924,99,57,17,57.57575757575758,17.171717171717173,43,1,19,2.3255813953488373,44.18604651162791
03BNFF,Blackley,1991,ward,11937,5571,6366,46.67001759235989,53.32998240764011,91,47,44,0.7623355952081763,7,18,34,28,4,3,11,4,7,0.0921504565636257,106,67,13,63.20754716981132,12.264150943396226,41,0,19,0.0,46.34146341463415
03BNFG,Bradford,1991,ward,11600,5537,6063,47.73275862068966,52.26724137931034,57,34,23,0.4913793103448275,4,10,23,18,2,6,8,5,3,0.0689655172413793,83,43,10,51.80722891566265,12.048192771084338,35,1,12,2.857142857142857,34.285714285714285
03BNFH,Brooklands,1991,ward,12441,5729,6712,46.04935294590467,53.95064705409533,41,24,17,0.329555501969295,1,5,10,21,4,0,5,2,3,0.0401896953621091,106,73,12,68.86792452830188,11.320754716981131,50,1,32,2.0,64.0
03BNFJ,Burnage,1991,ward,13868,6485,7383,46.76233054513989,53.23766945486011,91,41,50,0.6561869051052783,6,14,29,35,7,5,23,9,14,0.1658494375540813,181,106,15,58.56353591160221,8.287292817679559,81,2,51,2.469135802469136,62.96296296296296
03BNFK,Central,1991,ward,9040,4554,4486,50.376106194690266,49.62389380530973,154,80,74,1.7035398230088497,13,36,35,34,36,23,14,10,4,0.1548672566371681,215,90,29,41.86046511627907,13.488372093023257,106,1,14,0.9433962264150944,13.20754716981132
03BNFL,Charlestown,1991,ward,12456,5985,6471,48.04913294797688,51.95086705202312,25,13,12,0.2007064868336544,1,5,7,12,0,3,1,0,1,0.0080282594733461,42,30,7,71.42857142857143,16.666666666666668,18,0,7,0.0,38.888888888888886
03BNFM,Cheetham,1991,ward,14102,6996,7106,49.609984399375975,50.390015600624025,185,100,85,1.3118706566444476,20,25,58,73,9,19,21,10,11,0.1489150475109913,509,230,89,45.18664047151277,17.4852652259332,203,5,77,2.4630541871921183,37.93103448275862
03BNFN,Chorlton,1991,ward,13682,6524,7158,47.683087267943286,52.31691273205672,87,53,34,0.6358719485455343,5,10,37,34,1,0,11,7,4,0.0803976026896652,237,128,31,54.0084388185654,13.080168776371307,127,3,65,2.3622047244094486,51.181102362204726
03BNFP,Crumpsall,1991,ward,12056,5802,6254,48.12541473125415,51.874585268745854,43,30,13,0.3566688785666888,2,8,15,18,0,0,3,2,1,0.0248838752488387,160,110,26,68.75,16.25,87,0,44,0.0,50.57471264367816
03BNFQ,Didsbury,1991,ward,13387,6360,7027,47.50877717188317,52.49122282811683,83,45,38,0.6200044819601106,6,14,26,31,6,5,21,10,11,0.1568686038694255,216,130,19,60.18518518518518,8.796296296296296,99,0,59,0.0,59.5959595959596
03BNFR,Fallowfield,1991,ward,10701,5082,5619,47.49088870199047,52.50911129800953,104,56,48,0.971871787683394,2,4,47,46,5,9,31,13,18,0.2896925520979347,274,144,26,52.55474452554745,9.489051094890511,93,2,40,2.150537634408602,43.01075268817204
03BNFS,Gorton North,1991,ward,13841,6620,7221,47.828914095802325,52.17108590419768,108,51,57,0.7802904414420924,16,18,36,34,4,1,13,5,8,0.0939238494328444,119,83,10,69.74789915966386,8.403361344537815,54,2,28,3.703703703703704,51.851851851851855
03BNFT,Gorton South,1991,ward,13187,6308,6879,47.83498900432244,52.16501099567756,57,34,23,0.4322438765450823,3,9,22,21,2,4,12,8,4,0.0909987108515962,122,74,18,60.65573770491803,14.754098360655735,58,0,32,0.0,55.172413793103445
03BNFU,Harpurhey,1991,ward,11805,5613,6192,47.54764930114359,52.452350698856414,116,58,58,0.9826344769165608,15,18,31,47,5,4,18,10,8,0.1524777636594663,144,73,20,50.69444444444444,13.88888888888889,58,0,15,0.0,25.86206896551724
03BNFW,Levenshulme,1991,ward,7637,4165,3472,54.53712190650779,45.46287809349221,276,210,66,3.613984548906639,7,3,155,103,8,13,123,100,23,1.6105800707083933,523,139,51,26.577437858508603,9.751434034416826,198,7,2,3.5353535353535355,1.0101010101010102
03BNFX,Lightbowne,1991,ward,13257,6495,6762,48.99298483819869,51.00701516180131,77,45,32,0.5808252244097458,5,15,27,29,1,6,10,5,5,0.075431847325941,194,116,22,59.79381443298969,11.34020618556701,78,0,49,0.0,62.82051282051282
03BNFY,Longsight,1991,ward,13182,6183,6999,46.90487027765134,53.09512972234866,39,23,16,0.2958579881656805,4,1,17,17,0,1,6,2,4,0.0455166135639508,64,45,9,70.3125,14.0625,27,1,14,3.703703703703704,51.851851851851855
03BNFZ,Moss Side,1991,ward,14928,7378,7550,49.42390139335477,50.57609860664523,230,128,102,1.5407288317256165,21,37,84,84,4,8,36,17,19,0.2411575562700964,425,216,63,50.8235294117647,14.823529411764708,198,5,73,2.525252525252525,36.86868686868687
03BNGA,Moston,1991,ward,13103,6122,6981,46.7221247042662,53.2778752957338,154,81,73,1.1753033656414562,10,9,81,48,6,6,45,20,25,0.3434328016484774,406,208,74,51.23152709359606,18.22660098522168,169,0,34,0.0,20.118343195266277
03BNGB,Newton Heath,1991,ward,12897,6180,6717,47.91812049313794,52.08187950686206,107,55,52,0.8296503062727766,11,22,31,38,5,1,15,10,5,0.1163061177017911,88,62,5,70.45454545454545,5.681818181818182,35,0,26,0.0,74.28571428571429
